id,prediction
0,1
1,1
2,0
3,1
4,0
5,1
6,1
7,0
8,1
9,1
10,0
11,1
12,0
13,1
14,1
15,0
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,0
26,0
27,0
28,1
29,1
30,1
31,1
32,1
33,0
34,1
35,0
36,1
37,0
38,1
39,1
40,1
41,1
42,1
43,0
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,0
52,0
53,1
54,0
55,0
56,0
57,1
58,1
59,0
60,0
61,1
62,1
63,0
64,0
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,0
84,0
85,1
86,1
87,1
88,0
89,0
90,0
91,0
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,1
113,0
114,1
115,0
116,1
117,0
118,0
119,1
120,1
121,1
122,1
123,0
124,0
125,0
126,1
127,1
128,1
129,1
130,1
131,0
132,0
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,0
147,1
148,1
149,0
150,0
151,0
152,0
153,1
154,1
155,1
156,1
157,0
158,1
159,1
160,1
161,1
162,1
163,1
164,0
165,1
166,1
167,1
168,0
169,0
170,1
171,0
172,1
173,1
174,1
175,0
176,0
177,1
178,1
179,1
180,0
181,1
182,1
183,0
184,1
185,0
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,0
197,1
198,1
199,0
200,0
201,0
202,1
203,0
204,1
205,1
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,1
218,0
219,1
220,1
221,1
222,1
223,0
224,0
225,1
226,1
227,1
228,1
229,0
230,0
231,1
232,1
233,1
234,0
235,1
236,1
237,1
238,0
239,1
240,0
241,1
242,1
243,0
244,1
245,0
246,1
247,1
248,1
249,1
250,1
251,1
252,0
253,1
254,1
255,0
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,0
268,0
269,1
270,1
271,0
272,0
273,0
274,0
275,1
276,0
277,1
278,1
279,0
280,0
281,0
282,1
283,1
284,1
285,0
286,1
287,0
288,1
289,1
290,1
291,0
292,1
293,1
294,0
295,0
296,1
297,1
298,1
299,1
300,1
301,1
302,0
303,1
304,1
305,1
306,1
307,1
308,0
309,0
310,1
311,1
312,1
313,0
314,1
315,1
316,0
317,0
318,1
319,1
320,0
321,1
322,1
323,1
324,0
325,0
326,0
327,1
328,1
329,1
330,1
331,0
332,1
333,0
334,1
335,0
336,0
337,1
338,1
339,1
340,1
341,0
342,1
343,0
344,0
345,1
346,0
347,1
348,1
349,1
350,0
351,1
352,0
353,1
354,0
355,1
356,1
357,0
358,0
359,1
360,1
361,1
362,0
363,0
364,1
365,0
366,1
367,0
368,0
369,1
370,1
371,1
372,0
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,0
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,1
396,0
397,0
398,1
399,0
400,1
401,1
402,0
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,0
427,1
428,1
429,1
430,0
431,1
432,0
433,1
434,1
435,0
436,1
437,1
438,1
439,1
440,1
441,1
442,0
443,1
444,1
445,0
446,1
447,0
448,0
449,1
450,1
451,1
452,1
453,1
454,0
455,1
456,0
457,1
458,0
459,0
460,0
461,0
462,1
463,1
464,0
465,1
466,0
467,1
468,0
469,1
470,1
471,1
472,0
473,1
474,1
475,0
476,1
477,1
478,0
479,0
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,0
489,1
490,1
491,1
492,1
493,0
494,0
495,1
496,0
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,0
510,1
511,1
512,0
513,1
514,0
515,1
516,1
517,0
518,1
519,1
520,1
521,0
522,1
523,1
524,0
525,0
526,0
527,0
528,0
529,1
530,1
531,1
532,1
533,0
534,0
535,1
536,1
537,0
538,0
539,1
540,1
541,0
542,1
543,0
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,0
552,1
553,1
554,1
555,1
556,0
557,1
558,0
559,1
560,1
561,0
562,1
563,0
564,1
565,1
566,0
567,1
568,1
569,0
570,1
571,0
572,1
573,1
574,0
575,1
576,0
577,1
578,0
579,0
580,1
581,0
582,1
583,0
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,0
592,0
593,1
594,1
595,0
596,1
597,0
598,0
599,1
600,0
601,0
602,1
603,1
604,1
605,0
606,1
607,1
608,1
609,1
610,1
611,1
612,0
613,1
614,1
615,1
616,1
617,1
618,0
619,0
620,1
621,0
622,0
623,0
624,1
625,1
626,1
627,0
628,0
629,1
630,0
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,0
642,0
643,1
644,0
645,1
646,0
647,1
648,1
649,1
650,1
651,1
652,1
653,0
654,1
655,1
656,0
657,1
658,1
659,1
660,0
661,1
662,1
663,1
664,1
665,1
666,1
667,0
668,1
669,0
670,1
671,1
672,1
673,0
674,1
675,0
676,1
677,1
678,1
679,1
680,1
681,0
682,1
683,1
684,1
685,1
686,1
687,0
688,1
689,1
690,1
691,1
692,1
693,0
694,1
695,1
696,1
697,1
698,1
699,0
700,1
701,0
702,1
703,1
704,0
705,1
706,1
707,1
708,1
709,0
710,0
711,1
712,1
713,1
714,0
715,0
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,1
741,1
742,0
743,1
744,1
745,1
746,1
747,1
748,0
749,1
750,1
751,0
752,1
753,1
754,0
755,1
756,1
757,0
758,0
759,1
760,1
761,1
762,0
763,0
764,1
765,1
766,0
767,1
768,1
769,1
770,0
771,1
772,0
773,1
774,1
775,1
776,1
777,0
778,1
779,0
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,0
789,0
790,0
791,0
792,1
793,0
794,1
795,0
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,0
804,1
805,1
806,0
807,1
808,1
809,1
810,0
811,1
